2026-08-09 19:08:30,316 WARNING Missing checkpoint keys after tied-weight load: ['language_model.model.encoder.embed_tokens.weight', 'language_model.model.decoder.embed_tokens.weight', 'language_model.lm_head.weight']
2026-08-09 19:08:30,537 INFO parameter groups: {'vision': {'tensors': 400, 'parameters': 90368000}, 'projection': {'tensors': 5, 'parameters': 839168}, 'language': {'tensors': 259, 'parameters': 140206848}}
2026-08-09 19:08:32,992 INFO epoch=1 step=1/1454 loss=3.885076 grad_norm=32.9063 lr=[1.36986301369863e-08, 1.36986301369863e-08, 6.84931506849315e-09, 6.84931506849315e-09, 1.36986301369863e-09, 1.36986301369863e-09]
2026-08-09 19:08:37,701 INFO epoch=1 step=10/1454 loss=3.366808 grad_norm=24.9813 lr=[1.36986301369863e-07, 1.36986301369863e-07, 6.84931506849315e-08, 6.84931506849315e-08, 1.36986301369863e-08, 1.36986301369863e-08]
2026-08-09 19:08:42,055 INFO epoch=1 step=20/1454 loss=3.449285 grad_norm=22.4151 lr=[2.73972602739726e-07, 2.73972602739726e-07, 1.36986301369863e-07, 1.36986301369863e-07, 2.73972602739726e-08, 2.73972602739726e-08]
2026-08-09 19:08:47,092 INFO epoch=1 step=30/1454 loss=3.290153 grad_norm=21.4908 lr=[4.10958904109589e-07, 4.10958904109589e-07, 2.054794520547945e-07, 2.054794520547945e-07, 4.10958904109589e-08, 4.10958904109589e-08]
2026-08-09 19:08:51,457 INFO epoch=1 step=40/1454 loss=3.293564 grad_norm=19.8934 lr=[5.47945205479452e-07, 5.47945205479452e-07, 2.73972602739726e-07, 2.73972602739726e-07, 5.47945205479452e-08, 5.47945205479452e-08]
2026-08-09 19:08:55,920 INFO epoch=1 step=50/1454 loss=3.072784 grad_norm=18.5223 lr=[6.84931506849315e-07, 6.84931506849315e-07, 3.424657534246575e-07, 3.424657534246575e-07, 6.84931506849315e-08, 6.84931506849315e-08]
2026-08-09 19:09:00,346 INFO epoch=1 step=60/1454 loss=2.844787 grad_norm=15.3523 lr=[8.21917808219178e-07, 8.21917808219178e-07, 4.10958904109589e-07, 4.10958904109589e-07, 8.21917808219178e-08, 8.21917808219178e-08]
2026-08-09 19:09:04,651 INFO epoch=1 step=70/1454 loss=2.704044 grad_norm=12.4359 lr=[9.58904109589041e-07, 9.58904109589041e-07, 4.794520547945205e-07, 4.794520547945205e-07, 9.58904109589041e-08, 9.58904109589041e-08]
2026-08-09 19:09:08,956 INFO epoch=1 step=80/1454 loss=2.144688 grad_norm=11.2610 lr=[9.999429465634055e-07, 9.999429465634055e-07, 4.999714732817028e-07, 4.999714732817028e-07, 9.999429465634055e-08, 9.999429465634055e-08]
2026-08-09 19:09:13,479 INFO epoch=1 step=90/1454 loss=1.904009 grad_norm=9.9706 lr=[9.99663535986176e-07, 9.99663535986176e-07, 4.99831767993088e-07, 4.99831767993088e-07, 9.99663535986176e-08, 9.99663535986176e-08]
2026-08-09 19:09:18,059 INFO epoch=1 step=100/1454 loss=2.043916 grad_norm=8.0643 lr=[9.991514334743181e-07, 9.991514334743181e-07, 4.995757167371591e-07, 4.995757167371591e-07, 9.991514334743181e-08, 9.991514334743181e-08]
2026-08-09 19:10:47,536 INFO dev metrics: {'samples': 128, 'empty_outputs': 0, 'average_words': 20.109375, 'p95_words': 28, 'length_18_24_ratio': 0.5625, 'single_sentence_ratio': 0.984375, 'subject_start_ratio': 0.984375, 'dev_loss': 2.0462369148137904, 'global_step': 100}
2026-08-09 19:11:01,457 INFO epoch=1 step=110/1454 loss=2.244904 grad_norm=8.0005 lr=[9.98406904030694e-07, 9.98406904030694e-07, 4.99203452015347e-07, 4.99203452015347e-07, 9.98406904030694e-08, 9.98406904030694e-08]
2026-08-09 19:11:05,971 INFO epoch=1 step=120/1454 loss=1.996485 grad_norm=8.7140 lr=[9.9743033293448e-07, 9.9743033293448e-07, 4.9871516646724e-07, 4.9871516646724e-07, 9.974303329344801e-08, 9.974303329344801e-08]
2026-08-09 19:11:10,998 INFO epoch=1 step=130/1454 loss=2.135295 grad_norm=7.3668 lr=[9.962222255417912e-07, 9.962222255417912e-07, 4.981111127708956e-07, 4.981111127708956e-07, 9.962222255417912e-08, 9.962222255417912e-08]
2026-08-09 19:11:15,420 INFO epoch=1 step=140/1454 loss=2.082106 grad_norm=7.5783 lr=[9.9478320702417e-07, 9.9478320702417e-07, 4.97391603512085e-07, 4.97391603512085e-07, 9.9478320702417e-08, 9.9478320702417e-08]
2026-08-09 19:11:19,763 INFO epoch=1 step=150/1454 loss=2.040756 grad_norm=7.0387 lr=[9.931140220450729e-07, 9.931140220450729e-07, 4.965570110225364e-07, 4.965570110225364e-07, 9.931140220450727e-08, 9.931140220450727e-08]
2026-08-09 19:11:24,086 INFO epoch=1 step=160/1454 loss=1.615302 grad_norm=7.3190 lr=[9.912155343745209e-07, 9.912155343745209e-07, 4.956077671872604e-07, 4.956077671872604e-07, 9.912155343745208e-08, 9.912155343745208e-08]
