2026-08-06 18:52:06,599 WARNING Missing checkpoint keys after tied-weight load: ['language_model.model.encoder.embed_tokens.weight', 'language_model.model.decoder.embed_tokens.weight', 'language_model.lm_head.weight']
2026-08-06 18:52:06,820 INFO parameter groups: {'vision': {'tensors': 400, 'parameters': 90368000}, 'projection': {'tensors': 5, 'parameters': 839168}, 'language': {'tensors': 259, 'parameters': 140206848}}
2026-08-06 18:52:09,931 INFO epoch=1 step=1/969 loss=4.095285 grad_norm=32.1934 lr=[2.040816326530612e-08, 2.040816326530612e-08, 1.020408163265306e-08, 1.020408163265306e-08, 2.040816326530612e-09, 2.040816326530612e-09]
2026-08-06 18:52:14,002 INFO epoch=1 step=10/969 loss=3.482605 grad_norm=22.0948 lr=[2.0408163265306121e-07, 2.0408163265306121e-07, 1.0204081632653061e-07, 1.0204081632653061e-07, 2.0408163265306123e-08, 2.0408163265306123e-08]
2026-08-06 18:52:18,342 INFO epoch=1 step=20/969 loss=3.520182 grad_norm=24.0863 lr=[4.0816326530612243e-07, 4.0816326530612243e-07, 2.0408163265306121e-07, 2.0408163265306121e-07, 4.081632653061225e-08, 4.081632653061225e-08]
2026-08-06 18:52:22,760 INFO epoch=1 step=30/969 loss=3.421898 grad_norm=21.0213 lr=[6.122448979591837e-07, 6.122448979591837e-07, 3.0612244897959183e-07, 3.0612244897959183e-07, 6.122448979591837e-08, 6.122448979591837e-08]
2026-08-06 18:52:27,500 INFO epoch=1 step=40/969 loss=3.119020 grad_norm=20.5699 lr=[8.163265306122449e-07, 8.163265306122449e-07, 4.0816326530612243e-07, 4.0816326530612243e-07, 8.16326530612245e-08, 8.16326530612245e-08]
2026-08-06 18:52:31,905 INFO epoch=1 step=50/969 loss=2.979674 grad_norm=15.2775 lr=[9.999973763482605e-07, 9.999973763482605e-07, 4.999986881741303e-07, 4.999986881741303e-07, 9.999973763482604e-08, 9.999973763482604e-08]
2026-08-06 18:52:36,384 INFO epoch=1 step=60/969 loss=2.831613 grad_norm=13.9774 lr=[9.996825751560217e-07, 9.996825751560217e-07, 4.998412875780109e-07, 4.998412875780109e-07, 9.996825751560217e-08, 9.996825751560217e-08]
2026-08-06 18:52:40,848 INFO epoch=1 step=70/969 loss=2.532617 grad_norm=11.0154 lr=[9.988434641965087e-07, 9.988434641965087e-07, 4.994217320982543e-07, 4.994217320982543e-07, 9.988434641965086e-08, 9.988434641965086e-08]
2026-08-06 18:52:45,174 INFO epoch=1 step=80/969 loss=2.381273 grad_norm=8.9681 lr=[9.974810218355646e-07, 9.974810218355646e-07, 4.987405109177823e-07, 4.987405109177823e-07, 9.974810218355646e-08, 9.974810218355646e-08]
2026-08-06 18:52:49,583 INFO epoch=1 step=90/969 loss=2.078309 grad_norm=8.9177 lr=[9.95596836620037e-07, 9.95596836620037e-07, 4.977984183100185e-07, 4.977984183100185e-07, 9.95596836620037e-08, 9.95596836620037e-08]
2026-08-06 18:52:53,962 INFO epoch=1 step=100/969 loss=1.982252 grad_norm=8.6213 lr=[9.931931054256033e-07, 9.931931054256033e-07, 4.965965527128017e-07, 4.965965527128017e-07, 9.931931054256033e-08, 9.931931054256033e-08]
2026-08-06 18:54:27,060 INFO dev metrics: {'samples': 128, 'empty_outputs': 0, 'average_words': 20.359375, 'p95_words': 27, 'length_18_24_ratio': 0.6484375, 'single_sentence_ratio': 1.0, 'subject_start_ratio': 0.9921875, 'dev_loss': 1.9701125466953051, 'global_step': 100}
2026-08-06 18:54:34,792 INFO epoch=1 step=110/969 loss=2.466751 grad_norm=7.7348 lr=[9.902726308953116e-07, 9.902726308953116e-07, 4.951363154476558e-07, 4.951363154476558e-07, 9.902726308953115e-08, 9.902726308953115e-08]
2026-08-06 18:54:40,500 INFO epoch=1 step=120/969 loss=2.194136 grad_norm=7.5311 lr=[9.868388181718242e-07, 9.868388181718242e-07, 4.934194090859121e-07, 4.934194090859121e-07, 9.868388181718244e-08, 9.868388181718244e-08]
2026-08-06 18:54:45,023 INFO epoch=1 step=130/969 loss=1.614642 grad_norm=7.2845 lr=[9.82895670927175e-07, 9.82895670927175e-07, 4.914478354635875e-07, 4.914478354635875e-07, 9.82895670927175e-08, 9.82895670927175e-08]
2026-08-06 18:54:49,336 INFO epoch=1 step=140/969 loss=1.756030 grad_norm=7.4309 lr=[9.784477866946642e-07, 9.784477866946642e-07, 4.892238933473321e-07, 4.892238933473321e-07, 9.784477866946642e-08, 9.784477866946642e-08]
2026-08-06 18:54:53,643 INFO epoch=1 step=150/969 loss=1.956136 grad_norm=7.2658 lr=[9.735003515083432e-07, 9.735003515083432e-07, 4.867501757541716e-07, 4.867501757541716e-07, 9.735003515083432e-08, 9.735003515083432e-08]
2026-08-06 18:54:57,975 INFO epoch=1 step=160/969 loss=2.226550 grad_norm=7.2156 lr=[9.680591338563285e-07, 9.680591338563285e-07, 4.840295669281642e-07, 4.840295669281642e-07, 9.680591338563285e-08, 9.680591338563285e-08]
2026-08-06 18:55:05,176 INFO epoch=1 step=170/969 loss=1.760234 grad_norm=7.1747 lr=[9.62130477955004e-07, 9.62130477955004e-07, 4.81065238977502e-07, 4.81065238977502e-07, 9.621304779550039e-08, 9.621304779550039e-08]
2026-08-06 18:55:09,562 INFO epoch=1 step=180/969 loss=1.840603 grad_norm=7.2832 lr=[9.557212963519479e-07, 9.557212963519479e-07, 4.778606481759739e-07, 4.778606481759739e-07, 9.55721296351948e-08, 9.55721296351948e-08]
