2026-08-07 09:33:30,246 WARNING Missing checkpoint keys after tied-weight load: ['language_model.model.encoder.embed_tokens.weight', 'language_model.model.decoder.embed_tokens.weight', 'language_model.lm_head.weight']
2026-08-07 09:33:30,614 INFO parameter groups: {'vision': {'tensors': 400, 'parameters': 90368000}, 'projection': {'tensors': 5, 'parameters': 839168}, 'language': {'tensors': 259, 'parameters': 140206848}}
2026-08-07 09:33:39,510 INFO epoch=1 step=1/1454 loss=4.095285 grad_norm=32.1573 lr=[1.36986301369863e-08, 1.36986301369863e-08, 6.84931506849315e-09, 6.84931506849315e-09, 1.36986301369863e-09, 1.36986301369863e-09]
2026-08-07 09:33:45,973 INFO epoch=1 step=10/1454 loss=3.482685 grad_norm=22.0020 lr=[1.36986301369863e-07, 1.36986301369863e-07, 6.84931506849315e-08, 6.84931506849315e-08, 1.36986301369863e-08, 1.36986301369863e-08]
2026-08-07 09:33:50,589 INFO epoch=1 step=20/1454 loss=3.529152 grad_norm=24.6690 lr=[2.73972602739726e-07, 2.73972602739726e-07, 1.36986301369863e-07, 1.36986301369863e-07, 2.73972602739726e-08, 2.73972602739726e-08]
2026-08-07 09:33:55,518 INFO epoch=1 step=30/1454 loss=3.546654 grad_norm=27.1364 lr=[4.10958904109589e-07, 4.10958904109589e-07, 2.054794520547945e-07, 2.054794520547945e-07, 4.10958904109589e-08, 4.10958904109589e-08]
2026-08-07 09:34:00,138 INFO epoch=1 step=40/1454 loss=3.226233 grad_norm=21.6785 lr=[5.47945205479452e-07, 5.47945205479452e-07, 2.73972602739726e-07, 2.73972602739726e-07, 5.47945205479452e-08, 5.47945205479452e-08]
2026-08-07 09:34:04,894 INFO epoch=1 step=50/1454 loss=3.230071 grad_norm=18.5578 lr=[6.84931506849315e-07, 6.84931506849315e-07, 3.424657534246575e-07, 3.424657534246575e-07, 6.84931506849315e-08, 6.84931506849315e-08]
2026-08-07 09:34:10,007 INFO epoch=1 step=60/1454 loss=3.092104 grad_norm=16.9824 lr=[8.21917808219178e-07, 8.21917808219178e-07, 4.10958904109589e-07, 4.10958904109589e-07, 8.21917808219178e-08, 8.21917808219178e-08]
2026-08-07 09:34:14,589 INFO epoch=1 step=70/1454 loss=2.764189 grad_norm=14.6804 lr=[9.58904109589041e-07, 9.58904109589041e-07, 4.794520547945205e-07, 4.794520547945205e-07, 9.58904109589041e-08, 9.58904109589041e-08]
2026-08-07 09:34:19,289 INFO epoch=1 step=80/1454 loss=2.501827 grad_norm=11.1260 lr=[9.999429465634055e-07, 9.999429465634055e-07, 4.999714732817028e-07, 4.999714732817028e-07, 9.999429465634055e-08, 9.999429465634055e-08]
2026-08-07 09:34:23,815 INFO epoch=1 step=90/1454 loss=2.191269 grad_norm=9.4571 lr=[9.99663535986176e-07, 9.99663535986176e-07, 4.99831767993088e-07, 4.99831767993088e-07, 9.99663535986176e-08, 9.99663535986176e-08]
